Metric,Neural Network,Gradient Boosting
Accuracy,0.8289026618003845,0.791076238435414
Precision,0.6999519048453436,0.7787613085799092
Recall,0.7803815602836879,0.7783167023448311
F1 Score,0.7315217587714312,0.777615590534858
