Metric,Neural Network,Gradient Boosting
Accuracy,0.8784956336021423,0.8071895424836601
Precision,0.7241431388400826,0.7755592779894889
Recall,0.7785184741144414,0.776772921811312
F1 Score,0.7473737545013499,0.7703107154905521
