iter	Passed	Remaining
294	2698	6449
295	2708	6440
296	2717	6431
297	2727	6424
298	2736	6416
299	2746	6407
300	2756	6402
301	2766	6394
302	2776	6386
303	2785	6377
304	2794	6368
305	2804	6360
306	2814	6352
307	2824	6345
308	2834	6338
309	2843	6330
310	2853	6322
311	2863	6313
312	2875	6310
313	2882	6297
314	2890	6286
315	2900	6277
316	2909	6268
317	2917	6256
318	2926	6247
319	2936	6239
320	2945	6229
321	2954	6220
322	2963	6210
323	2974	6206
324	2984	6199
325	2995	6192
326	3004	6184
327	3014	6175
328	3022	6163
329	3030	6153
330	3039	6142
331	3048	6134
332	3057	6124
333	3066	6114
334	3074	6103
335	3083	6093
336	3091	6082
337	3100	6072
338	3110	6064
339	3118	6054
340	3128	6046
341	3137	6036
342	3145	6025
343	3155	6017
344	3164	6007
345	3172	5996
346	3181	5986
347	3190	5977
348	3199	5968
349	3208	5959
350	3217	5949
351	3226	5939
352	3234	5928
353	3243	5918
354	3252	5908
355	3261	5899
356	3269	5888
357	3278	5879
358	3287	5869
359	3297	5861
360	3307	5854
361	3317	5846
362	3325	5835
363	3334	5825
364	3342	5815
365	3351	5806
366	3360	5796
367	3368	5785
368	3377	5775
369	3385	5765
370	3394	5755
371	3403	5745
372	3412	5736
373	3421	5727
374	3429	5716
375	3438	5705
376	3446	5695
377	3454	5684
378	3462	5674
379	3472	5664
380	3480	5654
381	3489	5645
382	3497	5633
383	3505	5623
384	3514	5613
385	3522	5603
386	3530	5592
387	3538	5581
388	3547	5572
389	3556	5562
390	3564	5552
391	3573	5542
392	3582	5532
393	3591	5523
394	3600	5513
395	3608	5503
396	3617	5494
397	3625	5484
398	3634	5475
399	3643	5464
400	3651	5454
401	3659	5444
402	3669	5435
403	3678	5426
404	3687	5416
405	3695	5407
406	3704	5397
407	3713	5387
408	3722	5378
409	3730	5368
410	3739	5359
411	3748	5349
412	3757	5340
413	3766	5331
414	3776	5323
415	3785	5314
416	3794	5304
417	3803	5295
418	3812	5286
419	3821	5276
420	3830	5267
421	3838	5257
422	3846	5247
423	3857	5240
424	3867	5232
425	3878	5226
426	3888	5217
427	3897	5208
428	3906	5199
429	3915	5189
430	3924	5180
431	3932	5171
432	3941	5161
433	3950	5152
434	3960	5143
435	3969	5135
436	3980	5127
437	3990	5119
438	4000	5111
439	4010	5104
440	4020	5096
441	4029	5087
442	4038	5077
443	4046	5067
444	4055	5058
445	4064	5048
446	4073	5039
447	4081	5029
448	4090	5019
449	4098	5009
450	4106	4999
451	4115	4989
452	4123	4979
453	4133	4970
454	4141	4961
455	4150	4951
456	4159	4942
457	4167	4932
458	4176	4922
459	4185	4913
460	4194	4904
461	4203	4894
462	4211	4884
463	4219	4873
464	4227	4864
465	4236	4854
466	4245	4845
467	4254	4835
468	4265	4829
469	4274	4820
470	4283	4811
471	4293	4802
472	4302	4793
473	4311	4784
474	4320	4774
475	4329	4765
476	4337	4756
477	4346	4746
478	4355	4736
479	4363	4726
480	4371	4716
481	4379	4707
482	4388	4697
483	4397	4688
484	4405	4677
485	4413	4667
486	4422	4658
487	4430	4648
488	4439	4639
489	4449	4630
490	4457	4620
491	4466	4611
492	4484	4611
493	4493	4602
494	4502	4593
495	4511	4584
496	4520	4575
497	4528	4565
498	4538	4556
499	4546	4546
500	4554	4535
501	4562	4525
502	4570	4515
503	4579	4506
504	4587	4496
505	4597	4488
506	4606	4479
507	4614	4469
508	4622	4458
509	4629	4448
510	4637	4438
511	4646	4428
512	4654	4418
513	4664	4410
514	4672	4400
515	4680	4390
516	4689	4380
517	4697	4371
518	4705	4360
519	4713	4350
520	4722	4341
521	4730	4331
522	4739	4322
523	4748	4313
524	4757	4304
525	4765	4294
526	4774	4284
527	4782	4275
528	4790	4265
529	4798	4255
530	4806	4245
531	4814	4235
532	4822	4225
533	4833	4218
534	4841	4208
535	4849	4198
536	4858	4188
537	4866	4178
538	4874	4168
539	4883	4159
540	4892	4150
541	4900	4141
542	4909	4132
543	4917	4121
544	4924	4111
545	4933	4102
546	4941	4092
547	4950	4082
548	4958	4073
549	4967	4064
550	4976	4055
551	4984	4045
552	4992	4035
553	5001	4026
554	5009	4016
555	5021	4010
556	5030	4000
557	5038	3991
558	5047	3982
559	5055	3972
560	5064	3963
561	5073	3954
562	5085	3947
563	5095	3939
564	5105	3930
565	5113	3920
566	5121	3911
567	5131	3903
568	5140	3894
569	5149	3884
570	5158	3875
571	5166	3865
572	5174	3856
573	5182	3846
574	5190	3836
575	5199	3827
576	5207	3817
577	5215	3807
578	5223	3797
579	5232	3788
580	5241	3779
581	5250	3770
582	5258	3761
583	5266	3751
584	5275	3742
585	5284	3733
586	5293	3724
587	5301	3714
588	5310	3705
589	5318	3695
590	5326	3686
591	5335	3677
592	5343	3667
593	5352	3658
594	5359	3648
595	5367	3638
596	5376	3629
597	5384	3619
598	5392	3610
599	5401	3601
600	5411	3592
601	5420	3583
602	5428	3574
603	5436	3564
604	5445	3555
605	5453	3545
606	5461	3535
607	5469	3526
608	5477	3516
609	5485	3507
610	5493	3497
611	5501	3487
612	5509	3478
613	5518	3469
614	5526	3459
615	5534	3449
616	5543	3441
617	5552	3432
618	5561	3422
619	5569	3413
620	5577	3404
621	5585	3394
622	5594	3385
623	5602	3376
624	5611	3366
625	5620	3357
626	5629	3348
627	5638	3340
628	5647	3331
629	5656	3321
630	5663	3312
631	5672	3302
632	5680	3293
633	5689	3284
634	5699	3275
635	5707	3266
636	5716	3257
637	5725	3248
638	5733	3239
639	5743	3230
640	5752	3221
641	5760	3212
642	5770	3203
643	5779	3195
644	5788	3185
645	5798	3177
646	5807	3168
647	5817	3160
648	5826	3151
649	5835	3142
650	5844	3133
651	5853	3124
652	5861	3114
653	5870	3105
654	5879	3096
655	5888	3087
656	5896	3078
657	5905	3069
658	5914	3060
659	5923	3051
660	5931	3042
661	5941	3033
662	5949	3024
663	5958	3015
664	5966	3005
665	5975	2996
666	5984	2987
667	5992	2978
668	6001	2969
669	6010	2960
670	6019	2951
671	6028	2942
672	6038	2933
673	6047	2925
674	6057	2916
675	6067	2908
676	6078	2899
677	6087	2890
678	6097	2882
679	6108	2874
680	6117	2865
681	6125	2856
682	6134	2847
683	6142	2837
684	6150	2828
685	6159	2819
686	6167	2809
687	6178	2801
688	6186	2792
689	6194	2783
690	6203	2774
691	6211	2764
692	6220	2755
693	6229	2746
694	6238	2737
695	6247	2728
696	6255	2719
697	6264	2710
698	6274	2701
699	6283	2692
700	6291	2683
701	6300	2674
702	6309	2665
703	6319	2657
704	6328	2648
705	6340	2640
706	6349	2631
707	6357	2622
708	6366	2613
709	6375	2603
710	6384	2595
711	6393	2586
712	6402	2577
713	6411	2568
714	6421	2559
715	6430	2550
716	6439	2541
717	6447	2532
718	6455	2523
719	6464	2513
720	6472	2504
721	6481	2495
722	6490	2486
723	6498	2477
724	6507	2468
725	6516	2459
726	6523	2449
727	6532	2440
728	6541	2431
729	6549	2422
730	6557	2413
731	6566	2404
732	6576	2395
733	6584	2386
734	6594	2377
735	6602	2368
736	6611	2359
737	6620	2350
738	6629	2341
739	6640	2333
740	6649	2324
741	6657	2315
742	6666	2305
743	6674	2296
744	6684	2287
745	6693	2278
746	6702	2269
747	6710	2260
748	6719	2251
749	6728	2242
750	6737	2234
751	6747	2225
752	6755	2216
753	6763	2206
754	6772	2197
755	6780	2188
756	6789	2179
757	6798	2170
758	6807	2161
759	6815	2152
760	6824	2143
761	6833	2134
762	6842	2125
763	6851	2116
764	6860	2107
765	6869	2098
766	6878	2089
767	6887	2080
768	6896	2071
769	6905	2062
770	6913	2053
771	6922	2044
772	6930	2035
773	6939	2026
774	6948	2017
775	6956	2008
776	6965	1999
777	6973	1989
778	6981	1980
779	6989	1971
780	6998	1962
781	7008	1953
782	7017	1944
783	7026	1935
784	7034	1926
785	7043	1917
786	7052	1908
787	7060	1899
788	7069	1890
789	7078	1881
790	7088	1873
791	7097	1864
792	7106	1854
793	7114	1845
794	7122	1836
795	7130	1827
796	7138	1818
797	7147	1809
798	7155	1800
799	7164	1791
800	7172	1781
801	7181	1772
802	7189	1763
803	7198	1754
804	7206	1745
805	7216	1737
806	7224	1727
807	7233	1718
808	7242	1710
809	7251	1700
810	7260	1692
811	7270	1683
812	7279	1674
813	7287	1665
814	7295	1655
815	7304	1647
816	7313	1638
817	7322	1629
818	7331	1620
819	7340	1611
820	7348	1602
821	7357	1593
822	7366	1584
823	7375	1575
824	7383	1566
825	7393	1557
826	7401	1548
827	7411	1539
828	7420	1530
829	7428	1521
830	7437	1512
831	7445	1503
832	7455	1494
833	7464	1485
834	7473	1476
835	7482	1467
836	7491	1458
837	7501	1450
838	7510	1441
839	7520	1432
840	7530	1423
841	7538	1414
842	7547	1405
843	7556	1396
844	7565	1387
845	7573	1378
846	7582	1369
847	7591	1360
848	7600	1351
849	7609	1342
850	7617	1333
851	7627	1324
852	7636	1316
853	7645	1307
854	7655	1298
855	7663	1289
856	7672	1280
857	7681	1271
858	7690	1262
859	7699	1253
860	7708	1244
861	7717	1235
862	7725	1226
863	7734	1217
864	7743	1208
865	7751	1199
866	7759	1190
867	7768	1181
868	7777	1172
869	7786	1163
870	7795	1154
871	7807	1146
872	7818	1137
873	7828	1128
874	7836	1119
875	7845	1110
876	7854	1101
877	7864	1092
878	7873	1083
879	7882	1074
880	7891	1065
881	7900	1056
882	7908	1047
883	7917	1038
884	7926	1029
885	7935	1021
886	7943	1012
887	7951	1002
888	7960	993
889	7969	984
890	7977	975
891	7987	967
892	7996	958
893	8005	949
894	8014	940
895	8024	931
896	8034	922
897	8044	913
898	8053	904
899	8061	895
900	8071	886
901	8081	877
902	8091	869
903	8100	860
904	8109	851
905	8117	842
906	8126	833
907	8136	824
908	8145	815
909	8153	806
910	8162	797
911	8171	788
912	8179	779
913	8188	770
914	8198	761
915	8207	752
916	8217	743
917	8225	734
918	8233	725
919	8241	716
920	8250	707
921	8258	698
922	8267	689
923	8277	680
924	8286	671
925	8294	662
926	8302	653
927	8311	644
928	8319	635
929	8328	626
930	8337	617
931	8345	608
932	8354	599
933	8364	591
934	8373	582
935	8381	573
936	8391	564
937	8401	555
938	8410	546
939	8419	537
940	8429	528
941	8438	519
942	8448	510
943	8456	501
944	8465	492
945	8474	483
946	8483	474
947	8491	465
948	8499	456
949	8508	447
950	8518	438
951	8527	429
952	8538	421
953	8548	412
954	8556	403
955	8564	394
956	8572	385
957	8582	376
958	8591	367
959	8600	358
960	8609	349
961	8617	340
962	8627	331
963	8636	322
964	8645	313
965	8654	304
966	8663	295
967	8673	286
968	8681	277
969	8690	268
970	8700	259
971	8708	250
972	8718	241
973	8726	232
974	8735	223
975	8745	215
976	8753	206
977	8764	197
978	8773	188
979	8782	179
980	8791	170
981	8799	161
982	8808	152
983	8817	143
984	8825	134
985	8834	125
986	8844	116
987	8853	107
988	8863	98
989	8872	89
990	8881	80
991	8889	71
992	8897	62
993	8906	53
994	8915	44
995	8925	35
996	8935	26
997	8944	17
998	8953	8
999	8962	0
