iter	MultiClass
139	0.3216666568
140	0.3213691532
141	0.3209785522
142	0.3208247125
143	0.3206235984
144	0.3204962862
145	0.320164214
146	0.3199860198
147	0.3198775738
148	0.3196633184
149	0.3193444303
150	0.3190934777
151	0.318951323
152	0.3188319908
153	0.3186176198
154	0.3184943007
155	0.3183649695
156	0.3181927117
157	0.3178559587
158	0.3177398595
159	0.3175049375
160	0.317312376
161	0.3170236646
162	0.316874583
163	0.3167957879
164	0.3166320578
165	0.3164825609
166	0.3163198274
167	0.3161809667
168	0.3159545324
169	0.3158040356
170	0.3156307836
171	0.3155187181
172	0.3152552542
173	0.3149391431
174	0.3147792078
175	0.3147338497
176	0.3145995787
177	0.3145049298
178	0.314458929
179	0.3142112177
180	0.3139205767
181	0.3137955358
182	0.3135757091
183	0.3134370919
184	0.3132206277
185	0.3130814992
186	0.3129797433
187	0.3128598663
188	0.3127656679
189	0.3126270226
190	0.3124112627
191	0.3122354656
192	0.3120837116
193	0.3119300929
194	0.3116508053
195	0.3115436318
196	0.3113678941
197	0.3112635356
198	0.3111094042
199	0.3109842642
200	0.3108751983
201	0.3107505323
202	0.3106820036
203	0.3105658643
204	0.3104190318
205	0.3103096738
206	0.3101378864
207	0.3100523232
208	0.309981959
209	0.3099125511
210	0.3098221743
211	0.3097530693
212	0.3096745432
213	0.3095164256
214	0.3094318716
215	0.3092103752
216	0.3090810113
217	0.3089519478
218	0.3088484488
219	0.3087081522
220	0.308614653
221	0.3084739461
222	0.3083957922
223	0.3083232376
224	0.3082446884
225	0.3081127304
226	0.3079460434
227	0.3078228332
228	0.3077500919
229	0.3076074581
230	0.3075029717
231	0.3074318595
232	0.3072095318
233	0.3069948566
234	0.3067462969
235	0.3066914985
236	0.3066474133
237	0.3065807252
238	0.3064952882
239	0.3064314592
240	0.306310346
241	0.3061484673
242	0.3060105184
243	0.3058160588
244	0.3055843629
245	0.3054988155
246	0.3053265286
247	0.3052078427
248	0.3050925581
249	0.30500017
250	0.3049423532
251	0.3048811354
252	0.3046635902
253	0.3045730795
254	0.3044924898
255	0.3042937815
256	0.3041561222
257	0.3040224939
258	0.3039221671
259	0.3038017894
260	0.3037004083
261	0.3034976392
262	0.3034263563
263	0.3033078259
264	0.3032479835
265	0.3031519064
266	0.3031051782
267	0.3029457159
268	0.3027625073
269	0.3027059542
270	0.3026019646
271	0.3025213945
272	0.3023743726
273	0.3022792454
274	0.3021663081
275	0.3020672993
276	0.301986015
277	0.3019043392
278	0.3018639617
279	0.3018188313
280	0.3015534348
281	0.301455462
282	0.3011866006
283	0.3011388507
284	0.3010159109
285	0.3008412969
286	0.3007559101
287	0.3005943624
288	0.3004658667
289	0.3003379712
290	0.3002632507
291	0.3002130667
292	0.3001370604
293	0.300034968
294	0.2999269969
295	0.2998849414
296	0.2996892807
297	0.299629153
298	0.2994925901
299	0.2993970052
300	0.2993148071
301	0.2992505474
302	0.2992016371
303	0.2991097643
304	0.2990623466
305	0.2989649834
306	0.298860456
307	0.2987391092
308	0.2986989
309	0.2985808282
310	0.2985077263
311	0.2984594242
312	0.2983909844
313	0.2982467944
314	0.2981834028
315	0.2981338677
316	0.2980133082
317	0.2979164561
318	0.2978369304
319	0.2977524818
320	0.2977030575
321	0.2976409329
322	0.2975658182
323	0.2975368124
324	0.2974874295
325	0.2974086816
326	0.2973665206
327	0.2972985516
328	0.2972108412
329	0.2971369901
330	0.2970597735
331	0.2969875438
332	0.2968771744
333	0.2967918097
334	0.2966725975
335	0.2965822555
336	0.2965023818
337	0.2963828557
338	0.296354934
339	0.2962102317
340	0.2961395136
341	0.2961300734
342	0.2960320672
343	0.2959525484
344	0.2958759455
345	0.2958070429
346	0.2957293243
347	0.295687352
348	0.2956083128
349	0.2954643616
350	0.2954131491
351	0.2953568698
352	0.2953124956
353	0.2952270033
354	0.2951744292
355	0.2951153612
356	0.2950014138
357	0.29493843
358	0.2948993953
359	0.2948065965
360	0.2947557951
361	0.2947068494
362	0.2945873798
363	0.2945366046
364	0.2944865528
365	0.2944028362
366	0.2943632413
367	0.2943139238
368	0.2942402442
369	0.2941434715
370	0.2941074236
371	0.2939473844
372	0.2938741776
373	0.2937952182
374	0.2937291887
375	0.2936740261
376	0.2935890486
377	0.2935681517
378	0.2935068287
379	0.2933544841
380	0.293230249
381	0.2931781211
382	0.2930932605
383	0.2930351372
384	0.2929913615
385	0.2929126347
386	0.2927950192
387	0.2927642126
388	0.2927196873
389	0.2926608058
390	0.2926049987
391	0.2925744624
392	0.2924827986
393	0.2924528379
394	0.2924070646
395	0.2923731836
396	0.2923052552
397	0.2922548325
398	0.292185762
399	0.2920901142
400	0.292046167
401	0.2919852684
402	0.2919309882
403	0.2918825209
404	0.2917859752
405	0.2917355785
406	0.2916750014
407	0.2916139778
408	0.2916047409
409	0.291548443
410	0.2915071853
411	0.291448608
412	0.2914153814
413	0.2913508391
414	0.2913141888
415	0.2912551415
416	0.291149316
417	0.2910793641
418	0.2910412228
419	0.290998708
420	0.290854749
421	0.2907796555
422	0.2906952641
423	0.2906641936
424	0.2906184151
425	0.2905875769
426	0.2905143527
427	0.290437578
428	0.2903865351
429	0.2903104615
430	0.2902627169
431	0.2902431715
432	0.2902022522
433	0.2901548701
434	0.2901140966
435	0.2900716448
436	0.2900412417
437	0.2899959401
438	0.2899574016
439	0.289934728
440	0.2898873701
441	0.2898566503
442	0.2898049937
443	0.2897120004
444	0.2896279228
445	0.2895751477
446	0.2894672633
447	0.2894176549
448	0.2893544857
449	0.2893137605
450	0.2892661991
451	0.2892104579
452	0.2891171376
453	0.289049777
454	0.2889841826
455	0.2888727604
456	0.2888083572
457	0.2887278665
458	0.2886838696
459	0.2886259595
460	0.2885832227
461	0.2885141024
462	0.2884274874
463	0.2883263164
464	0.2882732966
465	0.2881758423
466	0.2881145699
467	0.2880894361
468	0.2880360606
469	0.2879899355
470	0.287931708
471	0.2879048392
472	0.287858353
473	0.2877873891
474	0.2876851802
475	0.2876455819
476	0.2875775611
477	0.2874879005
478	0.2874134814
479	0.2873521122
480	0.287278427
481	0.2872387526
482	0.2872137652
483	0.2871835143
484	0.2871428778
485	0.287046415
486	0.2869665727
487	0.2869438294
488	0.2868591284
489	0.2867965239
490	0.2867608458
491	0.2866645361
492	0.2865908721
493	0.2865188519
494	0.2864882335
495	0.2864376479
496	0.2863497967
497	0.2862710051
498	0.2862174548
499	0.2861442493
500	0.2860792067
501	0.2860001574
502	0.2859585766
503	0.2859149568
504	0.2858387459
505	0.2858043276
506	0.2857412201
507	0.2857028251
508	0.2856613646
509	0.2856087628
510	0.2855822296
511	0.2855241415
512	0.2854640398
513	0.2853977651
514	0.28536121
515	0.285336185
516	0.2852792883
517	0.2852398218
518	0.2851862605
519	0.2851172793
520	0.2850988351
521	0.2850810619
522	0.2850232433
523	0.2849456425
524	0.2849040889
525	0.2848349846
526	0.2847861143
527	0.284753413
528	0.2847164945
529	0.2846776549
530	0.2846518349
531	0.284590659
532	0.2845449307
533	0.2845223912
534	0.2844927398
535	0.28444113
536	0.2843717109
537	0.284298416
538	0.284236167
539	0.2842145171
540	0.2841282638
541	0.284066331
542	0.2840158154
543	0.2839418172
544	0.2838644696
545	0.2838314525
546	0.2837893089
547	0.283754903
548	0.2837049809
549	0.2836658148
550	0.2836166264
551	0.2835834159
552	0.2834951836
553	0.2834626786
554	0.2833991888
555	0.2833360333
556	0.2833053012
557	0.2832076755
558	0.2831776294
559	0.2831009078
560	0.2830680522
561	0.2830208772
562	0.2829601068
563	0.2829051625
564	0.282875719
565	0.2828366222
566	0.2828048048
567	0.2827287532
568	0.2826963123
569	0.2826065892
570	0.2825704635
571	0.2825223099
572	0.2824783382
573	0.2824264008
574	0.2823589266
575	0.2822737492
576	0.2822207455
577	0.2821866438
578	0.282099668
579	0.2820106219
580	0.2819459235
581	0.2819237988
582	0.2819120124
583	0.281877421
584	0.2818111836
585	0.2817621799
586	0.2816887277
587	0.2816586176
588	0.2816380731
589	0.2816221367
590	0.2815458025
591	0.2815119423
592	0.2814686761
593	0.2814496224
594	0.2813667206
595	0.281309201
596	0.2812405641
597	0.2812230087
598	0.2811693312
599	0.2811458216
600	0.281114917
601	0.2810585195
602	0.2810077999
603	0.2809757378
604	0.280919006
605	0.2808526092
606	0.2808256432
607	0.2807877651
608	0.2807209313
609	0.2806491746
610	0.2806197279
611	0.2805550907
612	0.2805170074
613	0.2804551726
614	0.2804097547
615	0.2803768995
616	0.2803647052
617	0.2803178449
618	0.2802812919
619	0.2802390916
620	0.2802065404
621	0.2801788443
622	0.2801524439
623	0.2801162896
624	0.2800658879
625	0.2800275382
626	0.2799947223
627	0.2799563102
628	0.2799242885
629	0.2798627144
630	0.2798209161
631	0.2797866111
632	0.2796687834
633	0.2796312992
634	0.2796075694
635	0.2795799862
636	0.2795308348
637	0.2794641078
638	0.2794165112
639	0.2793578784
640	0.2793429725
641	0.2792988181
642	0.2792250993
643	0.2791717025
644	0.2791075803
645	0.2790803645
646	0.2790471056
647	0.279030957
648	0.2789407532
649	0.2789058035
650	0.278866143
651	0.278798144
652	0.278773737
653	0.2786980572
654	0.2786671439
655	0.2786224893
656	0.2785632948
657	0.2785250225
658	0.2784800826
659	0.2784246664
660	0.2783740053
661	0.2783346305
662	0.2782937706
663	0.2782462371
664	0.2781899823
665	0.2781372529
666	0.278107446
667	0.2780703021
668	0.278047985
669	0.2780132122
670	0.2779629065
671	0.2779101414
672	0.2778469366
673	0.2778074288
674	0.2777778824
675	0.2777495897
676	0.2777342699
677	0.2776964467
678	0.2776831743
679	0.2776471618
680	0.277601824
681	0.2775266768
682	0.2774959845
683	0.2774502963
684	0.2774251132
685	0.2773796939
686	0.2772999772
687	0.2772342306
688	0.2771633202
689	0.2771110704
690	0.2770643202
691	0.277023086
692	0.2769989736
693	0.2769473802
694	0.2769038011
695	0.2768498753
696	0.2768344039
697	0.2767933313
698	0.2767605576
699	0.2767012918
700	0.2766728771
701	0.2766344457
702	0.2765318684
703	0.2764861019
704	0.2764412979
705	0.2764298476
706	0.2764080237
707	0.2763837708
708	0.2763708396
709	0.2762931928
710	0.276233167
711	0.2762009709
712	0.2761545067
713	0.276096675
714	0.2760537019
715	0.2760106554
716	0.275958666
717	0.2759050936
718	0.275864801
719	0.2758174187
720	0.2757837196
721	0.2757349641
722	0.2756936587
723	0.2756452602
724	0.2756007147
725	0.2755866904
726	0.2755022822
727	0.275473516
728	0.2754418446
729	0.2754143321
730	0.2753568902
731	0.2753201741
732	0.2752868089
733	0.2752611873
734	0.2751995329
735	0.2751337419
736	0.2750971097
737	0.275058113
738	0.2749999675
739	0.2749843958
740	0.2749554234
741	0.2749296156
742	0.274882628
743	0.2748391644
744	0.2748087678
745	0.2747738359
746	0.2747246105
747	0.2746927523
748	0.2746487667
749	0.2746336696
750	0.2746146807
751	0.2745794351
752	0.2745516028
753	0.2744696189
754	0.2744370607
755	0.2743791506
756	0.2743393294
757	0.274294119
758	0.2742700645
759	0.274228822
760	0.274163776
761	0.2741143466
762	0.2740953342
763	0.2740278811
764	0.2739737119
765	0.2739372608
766	0.2738949722
767	0.2738802822
768	0.273776748
769	0.2737509611
770	0.2736861792
771	0.2736255646
772	0.2736026418
773	0.2735670336
774	0.2735430275
775	0.2735145137
776	0.2734723804
777	0.273420124
778	0.2733908445
779	0.2733491313
780	0.2733272951
781	0.273270953
782	0.2732514945
783	0.2732080995
784	0.2731804039
785	0.2731477462
786	0.2730983374
787	0.2730875129
788	0.2730348864
789	0.2730071907
790	0.272978878
791	0.2729210849
792	0.2728876659
793	0.2728451381
794	0.2727413894
795	0.2726949743
796	0.2726362533
797	0.2726168334
798	0.2725410482
799	0.2724828463
800	0.2724478044
801	0.2723827695
802	0.2723655416
803	0.2723428714
804	0.2722977643
805	0.2722655187
806	0.2722314683
807	0.272198631
808	0.2721476536
809	0.2721245453
810	0.2721023978
811	0.2720846829
812	0.2720686819
813	0.2720478578
814	0.2720138059
815	0.2719949453
816	0.2719701979
817	0.2719310135
818	0.2719019984
819	0.2718925465
820	0.2718674833
821	0.2718421485
822	0.2718208015
823	0.2718026609
824	0.2717626237
825	0.2717003907
826	0.2716577769
827	0.2716385684
828	0.271591429
829	0.2715692342
830	0.2715468128
831	0.2714944952
832	0.271454654
833	0.2714230864
834	0.2713915636
835	0.2713622475
836	0.2713447216
837	0.2713251279
838	0.2712858708
839	0.2712707137
840	0.2712566451
841	0.2712375589
842	0.2712316065
843	0.2712201272
844	0.2711838776
845	0.2711121494
846	0.2710894816
847	0.2710583701
848	0.2710240793
849	0.2710030562
850	0.2709752919
851	0.2709357691
852	0.2708982505
853	0.2708686268
854	0.2708342474
855	0.2707868561
856	0.2707682157
857	0.2707493637
858	0.2707261453
859	0.2706895208
860	0.2706668384
861	0.2706312472
862	0.2705970121
863	0.2705652587
864	0.270515273
865	0.2704815482
866	0.2704640347
867	0.2704381681
868	0.2704287329
869	0.2703920401
870	0.2703424107
871	0.2702858975
872	0.2702433276
873	0.2702065039
874	0.2701806773
875	0.2701639361
876	0.2701308137
877	0.2700574806
878	0.2700390778
879	0.2700222997
880	0.2700004362
881	0.2699373968
882	0.2699013748
883	0.2698655031
884	0.2698510589
885	0.2698329644
886	0.2698120444
887	0.2697526037
888	0.2697229156
889	0.2696584909
890	0.2696329529
891	0.2696006948
892	0.2695523385
893	0.2695107575
894	0.2694913096
895	0.2694627322
896	0.2694385122
897	0.2694134016
898	0.2693792315
899	0.2693446135
900	0.2692929454
901	0.2692828139
902	0.2692567238
903	0.2692406341
904	0.2692112009
905	0.2691879255
906	0.2691361413
907	0.2690765744
908	0.2690618713
909	0.2690289148
910	0.2689871698
911	0.2689005466
912	0.268881832
913	0.2688169707
914	0.2687878694
915	0.2687673679
916	0.268731531
917	0.2686686656
918	0.2686324967
919	0.2685852695
920	0.2685425278
921	0.2685133424
922	0.2684973368
923	0.2684899716
924	0.2684616796
925	0.2684411891
926	0.26839661
927	0.2683410471
928	0.2683047622
929	0.2682646483
930	0.2682486598
931	0.2682137711
932	0.2682008359
933	0.2681690552
934	0.2681338648
935	0.2681291286
936	0.2680844683
937	0.2680539362
938	0.2680182807
939	0.2679840694
940	0.2679440251
941	0.2679217319
942	0.2678576092
943	0.2677904002
944	0.2677814549
945	0.2677724631
946	0.2677435983
947	0.2676596751
948	0.2676159029
949	0.2675897705
950	0.2675676204
951	0.26752099
952	0.2674901064
953	0.267443796
954	0.2674356517
955	0.2674022557
956	0.2673763975
957	0.2673582046
958	0.2673298687
959	0.2673136629
960	0.2672930043
961	0.2672264444
962	0.2671700012
963	0.2670794033
964	0.2670442375
965	0.2670376614
966	0.2670112837
967	0.2670075165
968	0.2669798357
969	0.2669453952
970	0.2669298001
971	0.2668877092
972	0.2668503677
973	0.2668212384
974	0.2667985676
975	0.2667492643
976	0.2667186233
977	0.266704183
978	0.2666576623
979	0.2666248608
980	0.266599369
981	0.2665419106
982	0.2665154225
983	0.2664782008
984	0.2664641626
985	0.2664092799
986	0.2663895291
987	0.2663443012
988	0.2662940992
989	0.2662667912
990	0.2662350058
991	0.2661994661
992	0.2661616521
993	0.2661316475
994	0.2661084466
995	0.2660972148
996	0.2660613711
997	0.2660207992
998	0.2659894131
999	0.2659510157
